Column,Data_Type,Non_Null_Count,Null_Count,Unique_Values,Sample_Value
ID,int64,2229,0,2229,5524
Year_Birth,int64,2229,0,56,1957
Education,object,2229,0,5,Graduation
Marital_Status,object,2229,0,8,Single
Income,float64,2229,0,1964,58138.0
Kidhome,int64,2229,0,3,0
Teenhome,int64,2229,0,3,0
Dt_Customer,datetime64[ns],2229,0,663,2012-09-04 00:00:00
Recency,int64,2229,0,100,58
MntWines,int64,2229,0,775,635
MntFruits,int64,2229,0,158,88
MntMeatProducts,int64,2229,0,555,546
MntFishProducts,int64,2229,0,182,172
MntSweetProducts,int64,2229,0,177,88
MntGoldProds,int64,2229,0,213,88
NumDealsPurchases,int64,2229,0,15,3
NumWebPurchases,int64,2229,0,15,8
NumCatalogPurchases,int64,2229,0,13,10
NumStorePurchases,int64,2229,0,14,4
NumWebVisitsMonth,int64,2229,0,16,7
AcceptedCmp3,int64,2229,0,2,0
AcceptedCmp4,int64,2229,0,2,0
AcceptedCmp5,int64,2229,0,2,0
AcceptedCmp1,int64,2229,0,2,0
AcceptedCmp2,int64,2229,0,2,0
Complain,int64,2229,0,2,0
Z_CostContact,int64,2229,0,1,3
Z_Revenue,int64,2229,0,1,11
Response,int64,2229,0,2,1
Age,int64,2229,0,56,67
Total_Spending,int64,2229,0,1052,1617
Total_Purchases,int64,2229,0,37,25
Children,int64,2229,0,4,0
Customer_Tenure_Days,int64,2229,0,663,663
