,R_Value,F_Value,M_Value,M_Value,RFM_Score,Age,Income
,mean,mean,mean,sum,mean,mean,mean
Customer_Segment,,,,,,,
About to Sleep,70.26,5.76,45.93,4914,4.35,52.0,31886.19
At Risk,82.38,15.73,532.32,146389,7.67,57.14,53490.14
Cannot Lose Them,79.49,23.78,1367.33,326793,10.78,56.66,71378.73
Champions,19.32,23.62,1223.26,338843,13.53,56.36,70428.21
Hibernating,88.64,6.11,70.55,8678,3.46,52.02,34177.11
Loyal Customers,42.05,22.39,951.64,232201,11.74,57.32,64267.72
Need Attention,63.15,12.59,243.02,38397,7.6,55.04,43220.96
New Customers,19.03,5.41,43.47,9738,6.81,52.03,31949.32
Others,63.67,16.09,1240.97,86868,9.79,58.61,67821.85
Potential Loyalists,18.95,12.64,435.04,145739,9.9,54.56,47688.51
Promising,49.29,6.78,63.23,11191,5.78,52.53,32634.39
