Feature,Type,Non_Null,Unique_Values,Mean,Std
R_Score,int64,2229,5,3.0139075818752805,1.4168403770123912
F_Score,int64,2229,5,2.933153880663975,1.4454534564944665
M_Score,int64,2229,5,2.9973082099596233,1.4161139598999755
Age,int64,2229,56,55.11126065500224,11.707429996646283
Income,float64,2229,1964,51619.5042620009,20601.216247967397
Education_Level,int64,2229,5,3.458501570210857,1.0030052229272073
Family_Size,int64,2229,5,2.5962314939434723,0.9074319972812909
Has_Children,int64,2229,2,0.7160161507402423,0.4510302506397751
Avg_Order_Value,float64,2229,1493,30.92009167946574,32.014441522673394
Purchase_Frequency_Rate,float64,2229,1658,0.12870838222356568,0.6371438291900322
Customer_Tenure_Days,int64,2229,663,353.7774786899955,202.24869996611807
Wine_Ratio,float64,2229,1750,0.4554785187487118,0.22674431402437517
Meat_Ratio,float64,2229,1661,0.24614789285427138,0.12295838523706465
Product_Diversity,int64,2229,5,5.428443248093315,0.924394289060471
Premium_Product_Ratio,float64,2229,1714,0.7721994693780341,0.1643384583532757
Web_Purchase_Ratio,float64,2229,136,0.24593785332664153,0.09392309990259862
Store_Purchase_Ratio,float64,2229,132,0.3727394986385741,0.09982311228836245
Campaign_Acceptance_Rate,float64,2229,6,0.07477194556602362,0.14869303639699652
NumWebVisitsMonth,int64,2229,16,5.334230596680126,2.414981498852426
Has_Complained,int64,2229,2,0.008972633467922835,0.09431922601547724
Engagement_Score,float64,2229,171,16.833109017496636,8.12618825876714
CLV_Estimate,float64,2229,1811,730.2519067336501,791.953326294362
Customer_Value_Score,float64,2229,13,49.53641393749065,25.600642783191216
Is_High_Spender,int64,2229,2,0.2503364737550471,0.43330399873101255
Is_Active,int64,2229,2,0.9120681920143562,0.28325924777823464
Is_Campaign_Responder,int64,2229,2,0.2727680574248542,0.445482521910241
Is_Web_Shopper,int64,2229,2,0.0026917900403768506,0.05182421460014406
Is_Deal_Seeker,int64,2229,2,0.0816509645580978,0.2738936652772502
