RFM_Segment,Customer_Count,Avg_Spending,Total_Revenue,Avg_Recency,Avg_Frequency,Avg_Monetary,Avg_CLV,Pct_of_Total
111,76,34.72,2639,88.51,5.24,34.72,33.14,3.41
112,31,79.9,2477,89.97,6.61,79.9,76.15,1.39
121,14,48.21,675,89.71,9.07,48.21,49.66,0.63
122,53,118.6,6286,88.19,9.3,118.6,130.0,2.38
123,6,208.33,1250,89.17,10.5,208.33,273.19,0.27
124,1,801.0,801,99.0,11.0,801.0,734.25,0.04
131,2,47.0,94,96.0,12.0,47.0,43.38,0.09
132,4,160.5,642,85.25,12.5,160.5,212.01,0.18
133,55,335.49,18452,89.84,14.64,335.49,407.83,2.47
134,16,995.56,15929,89.5,15.19,995.56,1041.27,0.72
135,8,1651.38,13211,90.75,16.0,1651.38,1627.24,0.36
143,21,494.19,10378,88.14,19.76,494.19,600.1,0.94
144,30,833.6,25008,89.4,19.87,833.6,972.04,1.35
145,39,1588.97,61970,90.41,20.15,1588.97,2075.98,1.75
153,2,525.5,1051,95.0,24.0,525.5,504.27,0.09
154,46,903.98,41583,87.63,25.35,903.98,1165.27,2.06
155,39,1647.03,64234,90.15,26.05,1647.03,2162.13,1.75
211,70,32.51,2276,69.51,5.17,32.51,31.76,3.14
212,29,78.0,2262,70.66,6.31,78.0,81.03,1.3
221,8,47.0,376,75.38,8.88,47.0,42.23,0.36
222,47,112.34,5280,70.64,9.19,112.34,120.79,2.11
223,4,224.25,897,67.5,10.75,224.25,253.56,0.18
224,1,746.0,746,72.0,11.0,746.0,912.4,0.04
225,2,1443.5,2887,65.5,10.5,1443.5,2068.34,0.09
231,1,8.0,8,65.0,15.0,8.0,7.5,0.04
232,8,162.38,1299,72.5,12.5,162.38,187.43,0.36
233,43,331.67,14262,69.56,14.51,331.67,366.38,1.93
234,28,1004.46,28125,69.79,15.54,1004.46,1121.96,1.26
235,16,1679.38,26870,71.94,15.25,1679.38,2014.78,0.72
243,35,486.6,17031,67.8,19.46,486.6,566.82,1.57
244,25,869.64,21741,68.04,20.88,869.64,1041.16,1.12
245,49,1602.1,78503,68.51,19.78,1602.1,1954.94,2.2
253,5,552.4,2762,65.6,23.6,552.4,731.65,0.22
254,34,966.41,32858,69.85,26.35,966.41,1189.44,1.53
255,32,1488.91,47645,68.5,26.56,1488.91,1857.08,1.44
311,87,33.24,2892,49.05,5.13,33.24,31.99,3.9
312,32,89.44,2862,50.25,6.5,89.44,98.58,1.44
315,1,1679.0,1679,53.0,1.0,1679.0,1577.8,0.04
321,10,45.1,451,47.0,9.3,45.1,42.53,0.45
322,48,103.88,4986,49.56,9.44,103.88,113.51,2.15
323,5,256.6,1283,51.8,10.6,256.6,250.2,0.22
331,1,53.0,53,50.0,12.0,53.0,67.55,0.04
332,8,170.12,1361,49.62,12.75,170.12,214.29,0.36
333,43,325.93,14015,50.26,14.79,325.93,353.15,1.93
334,21,981.0,20601,50.95,15.62,981.0,1070.53,0.94
335,13,1579.92,20539,48.62,16.0,1579.92,1871.74,0.58
343,23,483.17,11113,50.26,19.91,483.17,659.3,1.03
344,27,864.33,23337,51.63,20.56,864.33,1012.04,1.21
345,36,1519.86,54715,49.58,20.19,1519.86,1718.59,1.62
353,11,581.73,6399,49.91,23.64,581.73,718.78,0.49
354,42,930.31,39073,49.4,25.5,930.31,1073.25,1.88
355,42,1569.14,65904,49.71,26.64,1569.14,2044.51,1.88
411,85,31.68,2693,29.69,5.18,31.68,30.32,3.81
412,21,67.43,1416,29.48,6.52,67.43,68.14,0.94
421,10,41.6,416,32.0,8.5,41.6,44.07,0.45
422,55,113.65,6251,29.38,9.22,113.65,127.86,2.47
423,7,233.0,1631,28.57,10.57,233.0,271.98,0.31
424,1,711.0,711,36.0,10.0,711.0,646.36,0.04
431,1,9.0,9,29.0,15.0,9.0,8.44,0.04
432,5,177.4,887,25.0,12.0,177.4,187.82,0.22
433,61,370.93,22627,29.3,14.92,370.93,445.42,2.74
434,15,963.87,14458,29.4,16.2,963.87,1101.14,0.67
435,12,1638.25,19659,26.5,15.83,1638.25,2016.65,0.54
443,27,518.22,13992,32.48,19.44,518.22,608.33,1.21
444,26,839.62,21830,28.27,20.73,839.62,996.78,1.17
445,34,1710.59,58160,28.12,20.18,1710.59,2003.35,1.53
453,3,469.0,1407,27.0,24.0,469.0,602.49,0.13
454,45,935.56,42100,29.18,25.84,935.56,1102.08,2.02
455,36,1504.83,54174,29.31,26.75,1504.83,2066.47,1.62
511,77,30.36,2338,9.16,4.88,30.36,28.01,3.45
512,40,72.95,2918,10.32,6.42,72.95,77.19,1.79
513,1,373.0,373,2.0,2.0,373.0,248.67,0.04
521,7,45.0,315,11.0,9.0,45.0,45.35,0.31
522,58,107.52,6236,9.16,9.19,107.52,115.78,2.6
523,4,247.5,990,6.75,10.5,247.5,264.82,0.18
525,1,1370.0,1370,19.0,11.0,1370.0,1255.83,0.04
532,6,160.67,964,10.83,12.17,160.67,181.86,0.27
533,54,346.69,18721,9.35,15.24,346.69,400.25,2.42
534,17,1000.71,17012,7.24,15.71,1000.71,1098.06,0.76
535,21,1594.38,33482,6.19,15.71,1594.38,1970.73,0.94
543,27,500.15,13504,7.93,19.3,500.15,571.94,1.21
544,21,838.9,17617,10.33,20.67,838.9,1015.71,0.94
545,43,1559.05,67039,9.98,20.23,1559.05,1825.17,1.93
553,6,459.5,2757,7.0,25.67,459.5,571.95,0.27
554,51,895.02,45646,8.9,26.0,895.02,1067.81,2.29
555,21,1537.0,32277,9.24,26.71,1537.0,2092.87,0.94
